,csa-500,psr-500,csa-2000,psr-2000,csa-5000,psr-5000,csa-10000,psr-10000,csa-50000,psr-50000
diff_mean_02,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_mean_05,1.0,0.0,3.0,9.0,4.0,9.0,8.0,11.0,6.0,6.0
diff_mean_10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_mean_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_02,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_05,0.0,0.0,4.0,8.0,1.0,12.0,1.0,10.0,3.0,6.0
diff_median_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist_ratio.coeff_var,4.0,12.0,18.0,15.0,16.0,12.0,17.0,12.0,13.0,10.0
eps.max,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
eps.ratio,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
eps.s,18.0,18.0,15.0,17.0,17.0,17.0,17.0,18.0,15.0,17.0
expl_var.cor_init,2.0,0.0,3.0,4.0,4.0,2.0,4.0,2.0,8.0,2.0
expl_var.cor_x,5.0,3.0,10.0,5.0,10.0,3.0,11.0,5.0,11.0,3.0
expl_var.cov_init,13.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
expl_var.cov_x,16.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
expl_var_PC1.cor_init,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
expl_var_PC1.cor_x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expl_var_PC1.cov_init,6.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
expl_var_PC1.cov_x,8.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
h.max,18.0,16.0,15.0,10.0,13.0,7.0,13.0,5.0,11.0,6.0
kurtosis,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin_simple.adj_r2,18.0,18.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
lin_simple.coef.max,18.0,18.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0
lin_simple.coef.max_by_min,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
lin_simple.coef.min,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
lin_simple.intercept,18.0,18.0,17.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0
lin_w_interact.adj_r2,15.0,18.0,16.0,16.0,17.0,17.0,18.0,17.0,18.0,17.0
m0,5.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
nb_fitness.cor,17.0,8.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0
nn_nb.cor,6.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,17.0,16.0
nn_nb.mean_ratio,8.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nn_nb.sd_ratio,11.0,18.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
number_of_peaks,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
quad_simple.adj_r2,12.0,14.0,6.0,6.0,7.0,8.0,6.0,7.0,9.0,16.0
quad_simple.cond,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0
quad_w_interact.adj_r2,2.0,8.0,15.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0
ratio_mean_02,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_mean_05,0.0,0.0,1.0,5.0,4.0,5.0,4.0,4.0,6.0,8.0
ratio_mean_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_mean_25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_02,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_05,2.0,0.0,7.0,10.0,5.0,12.0,3.0,9.0,3.0,6.0
ratio_median_10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skewness,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,5.0
