"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"1",5,1,1,500,0,0,0,0,0,0,0,0,0,0,0.000101,0.000407,0.000317,0.00048,0.000576,3.3e-05,3.2e-05,0.000114,0.000358,0.000592,"conf_2"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"6",30,1,1,500,6.392985,6.058879,6.284831,5.51155,6.683766,4.748336,5.054974,5.507311,4.286488,4.084962,18.605539,11.889127,18.062033,13.579724,17.069745,16.797864,13.787628,17.209871,9.642609,14.268921,"conf_2"
"7",30,1,1,2000,0.000386,0.000356,0.000362,0.000207,0.000405,0.000275,0.000542,0.000753,0.00019,0.00011,0.060854,0.031119,0.066295,0.041273,0.025364,0.053114,0.038701,0.039449,0.034712,0.038047,"conf_2"
"8",30,1,1,5000,0,0,0,0,0,0,0,0,0,0,1e-06,0,1e-06,1e-06,0,0,1e-06,1e-06,0,0,"conf_2"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_2"
"11",5,10,1,500,240.32863,44.172377,282.515583,104.258742,94.643485,353.004984,231.779461,0.440473,136.043544,68.113631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_2"
"12",5,10,1,2000,0,0,0,0,0,1e-06,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_2"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_2"
