"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"1",5,1,1,500,0,0,0,0,0,0,0,0,0,0,7.7e-05,5.3e-05,1e-05,2e-05,2.4e-05,3.9e-05,0.000116,7.3e-05,8e-05,2e-05,"conf_8"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_8"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_8"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_8"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_8"
"6",30,1,1,500,10.222612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"7",30,1,1,2000,0.000277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"8",30,1,1,5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"9",30,1,1,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"10",30,1,1,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"11",5,10,1,500,292.135093,1678.961852,204.437724,447.580373,127.811134,246.823134,37.443267,32.725328,72.42326,8.862556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"12",5,10,1,2000,0.000186,0,0.014285,0,0.000135,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"14",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"15",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"16",30,10,1,500,289431.071569,194888.244711,260858.779507,259083.606153,202393.605215,191207.264222,269130.37754,151042.818871,149838.438114,170517.426045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"17",30,10,1,2000,17282.650231,18348.845151,18355.905583,21178.765336,14304.509007,15146.694928,18870.402201,33842.362151,7029.771009,17819.579919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"18",30,10,1,5000,3308.716229,2643.503164,4057.331198,4769.264933,2280.463661,2717.192756,5813.88406,7494.004816,1416.634867,3326.636715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"19",30,10,1,10000,1258.775702,654.649064,660.798045,542.471982,476.80356,432.613319,871.84316,923.445206,609.937555,1104.639648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
"20",30,10,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_8"
