"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"1",5,1,1,500,0.000363,0.000157,1.8e-05,0.000292,0.000171,0.000242,0.00017,0.000477,0.000288,4.1e-05,"conf_19"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"6",30,1,1,500,15.072285,16.391486,18.132862,14.158177,13.717726,19.710409,14.468268,15.238945,12.16584,11.103061,"conf_19"
"7",30,1,1,2000,0.054417,0.069465,0.032937,0.074026,0.053138,0.058808,0.055941,0.049187,0.043549,0.046496,"conf_19"
"8",30,1,1,5000,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,0,"conf_19"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"11",5,10,1,500,303.238444,405.332029,907.089577,6029.666204,556.287243,861.470023,73.416988,127.474763,34.831691,132.281486,"conf_19"
"12",5,10,1,2000,0.001039,0.000215,0.509711,0.015936,0.001713,3.9e-05,8e-06,0.000351,0.000285,0.000263,"conf_19"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"14",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"15",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"16",30,10,1,500,238632.413724,712581.770017,329771.747215,332656.616036,394670.779539,320243.096984,463954.69618,229916.985336,208650.003644,255398.276454,"conf_19"
"17",30,10,1,2000,25830.901352,23179.809608,36011.652965,52826.28443,34129.44599,8848.627378,27805.28287,10165.318436,22218.550421,27350.870268,"conf_19"
"18",30,10,1,5000,4545.196482,4104.996034,8773.749588,11518.189967,4958.944487,3060.868667,7102.648771,4341.520573,4586.20023,4377.064826,"conf_19"
"19",30,10,1,10000,783.965551,1211.09353,1342.920257,1668.099108,1016.872618,1152.412885,1563.322651,591.079821,1172.22011,1374.753443,"conf_19"
"20",30,10,1,50000,0.000345,0.034737,1e-06,0.019547,0.000331,0,3e-06,0.00037,2e-06,0.000582,"conf_19"
"21",5,11,1,500,36.605583,24.050683,40.496716,27.633631,31.014822,16.273628,40.857795,19.416929,54.988701,16.650943,"conf_19"
"22",5,11,1,2000,2.10624,6.561097,0.83402,0.181932,0.097126,2.174996,1.085919,0.497437,1.042006,3.37396,"conf_19"
"23",5,11,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"24",5,11,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"25",5,11,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"26",30,11,1,500,153.523862,163.646157,200.827008,158.496773,177.15639,203.326095,157.899595,142.85172,187.116837,135.76314,"conf_19"
"27",30,11,1,2000,151.528427,160.698901,194.430981,153.84228,174.059656,199.660387,154.700646,138.470511,182.392535,132.441055,"conf_19"
"28",30,11,1,5000,77.602124,78.514161,84.784812,76.805295,103.226324,99.167547,79.615355,77.181426,86.3349,53.596153,"conf_19"
"29",30,11,1,10000,28.590123,16.906212,19.117817,18.199624,42.056873,28.067453,23.287368,28.56043,32.615886,25.317004,"conf_19"
"30",30,11,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"31",5,12,1,500,388.031554,497.977201,99.831747,144.800183,308.214161,67.213014,83.637735,176.352003,31.468049,259.100526,"conf_19"
"32",5,12,1,2000,0.045155,1.004939,0.007644,0.246805,0.026713,0.230389,1.561187,6.696878,0.609062,0.200698,"conf_19"
"33",5,12,1,5000,0,0,0,0,0,0,2.2e-05,0,0,0,"conf_19"
"34",5,12,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"35",5,12,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"36",30,12,1,500,13518250.018547,9452975.663309,10670899.146655,13678543.845244,11715073.668215,12636644.36269,9556829.774033,9145070.497882,13140986.406565,9466771.744484,"conf_19"
"37",30,12,1,2000,60013.539819,24379.736683,28954.061675,30051.33136,33869.187876,32643.512032,40216.76594,31706.062739,49088.936575,35842.3917,"conf_19"
"38",30,12,1,5000,18.106072,11.076928,25.824899,0.312451,0.440985,24.859863,4.755629,0.995814,11.464911,5.089097,"conf_19"
"39",30,12,1,10000,16.911321,10.313114,25.407613,0.004693,0.100104,24.25717,4.274409,0.643034,10.791657,4.56066,"conf_19"
"40",30,12,1,50000,0,0,8e-06,0,0,6e-06,0,0,0,0,"conf_19"
"41",5,13,1,500,5.972537,10.473904,13.10474,3.312496,3.114622,19.668675,20.534719,24.646126,5.083123,16.816088,"conf_19"
"42",5,13,1,2000,0.047391,0.000239,9.6e-05,1.096137,0.040624,0.004119,0.000422,0.001564,0.006869,0.000119,"conf_19"
"43",5,13,1,5000,0,0,0,0,0,0,0,0,0,3e-06,"conf_19"
"44",5,13,1,10000,0,0,0,0,0,0,0,0,0,3e-06,"conf_19"
"45",5,13,1,50000,0,0,0,0,0,0,0,0,0,3e-06,"conf_19"
"46",30,13,1,500,750.885629,868.780897,888.041086,753.465584,928.363584,919.973038,1009.333792,1139.709241,897.683172,950.509721,"conf_19"
"47",30,13,1,2000,40.999393,55.643162,60.377785,44.762083,56.085205,48.444717,61.626214,66.082063,59.114191,61.421891,"conf_19"
"48",30,13,1,5000,0.564706,0.215408,0.373843,0.180899,0.261481,0.57277,1.228394,9.11604,0.62689,7.060236,"conf_19"
"49",30,13,1,10000,0.437202,0.002092,0.16718,0.029579,0.058284,0.373893,1.05087,8.749978,0.34776,6.901971,"conf_19"
"50",30,13,1,50000,0.437189,0.00208,0.167167,0.029568,0.058268,0.373882,1.05085,8.749937,0.34774,6.901952,"conf_19"
"51",5,14,1,500,0.005322,0.001483,0.000988,0.00099,0.003624,0.005846,0.001035,0.00165,0.001393,0.004164,"conf_19"
"52",5,14,1,2000,1e-06,0,0,0,0,1e-06,1e-06,0,0,0,"conf_19"
"53",5,14,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"54",5,14,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"55",5,14,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"56",30,14,1,500,5.074994,5.588487,7.925419,8.565685,6.060811,6.263225,5.393257,6.610958,5.647002,8.098288,"conf_19"
"57",30,14,1,2000,0.030915,0.048788,0.092146,0.051924,0.065836,0.053331,0.047831,0.051337,0.047163,0.045574,"conf_19"
"58",30,14,1,5000,0.001219,0.001032,0.002151,0.00175,0.001477,0.001515,0.001123,0.001286,0.001319,0.001344,"conf_19"
"59",30,14,1,10000,7.7e-05,0.00012,0.000102,0.000132,0.000103,8.6e-05,8.7e-05,0.000146,8.1e-05,7.9e-05,"conf_19"
"60",30,14,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"61",30,15,1,500,360.530383,271.221711,366.566858,353.339653,370.744762,361.716014,397.123058,354.062479,317.238599,313.085599,"conf_19"
"62",30,15,1,2000,133.509668,56.200344,121.706255,55.86398,269.872304,85.716514,133.946986,279.703963,218.070614,267.47948,"conf_19"
"63",30,15,1,5000,128.349394,48.760659,104.47383,46.765087,269.872304,81.591912,117.413833,279.703963,218.070614,254.866083,"conf_19"
"64",30,15,1,10000,128.349228,48.752934,104.470347,46.763015,47.847385,81.586481,117.404032,279.703963,40.61055,67.829014,"conf_19"
"65",30,15,1,50000,128.349228,48.752933,104.470347,46.763015,47.757949,81.586481,117.404032,93.525878,38.803353,51.737781,"conf_19"
"66",5,15,1,500,6.926215,4.523937,3.248462,3.463788,4.019092,14.935642,4.919347,12.196921,13.858465,8.079667,"conf_19"
"67",5,15,1,2000,4.983,3.979836,2.984877,2.984877,3.979836,14.924351,3.979836,11.939478,13.858465,7.959662,"conf_19"
"68",5,15,1,5000,4.974795,3.979836,2.984877,2.984877,3.979836,3.979831,3.979836,6.964708,1.989918,7.959662,"conf_19"
"69",5,15,1,10000,4.974795,3.979836,2.984877,2.984877,3.979836,3.979831,3.979836,6.964708,1.989918,7.959662,"conf_19"
"70",5,15,1,50000,4.974795,3.979836,2.984877,2.984877,3.979836,3.906409,3.765277,6.964708,1.989918,7.943362,"conf_19"
"71",5,16,1,500,0.099259,1.825687,0.002114,0.064375,0.852825,0.749515,2.419258,0.952269,1.806933,0.71855,"conf_19"
"72",5,16,1,2000,0.057266,1.499875,0.000371,0.011291,0.758232,0.450254,1.981839,0.695424,1.342661,0.573878,"conf_19"
"73",5,16,1,5000,0.057266,1.499875,0.000371,0.011291,0.013992,0.450254,1.981839,0.695424,1.342661,0.573878,"conf_19"
"74",5,16,1,10000,0.057266,1.499875,0.000371,0.011291,0.013992,0.450254,1.981839,0.695424,1.342661,0.573878,"conf_19"
"75",5,16,1,50000,0.057266,1.499875,0.000371,0.011291,0.013992,0.450254,0.634597,0.695424,1.342661,0.573878,"conf_19"
"76",30,16,1,500,19.870308,18.43008,9.068505,15.239608,14.74321,12.826449,20.69583,12.239179,16.658311,19.85264,"conf_19"
"77",30,16,1,2000,6.594734,5.303965,2.829261,3.360934,3.195872,3.439294,8.015794,4.077686,3.627985,9.8104,"conf_19"
"78",30,16,1,5000,6.115999,4.865778,2.496271,2.905452,2.764105,2.82998,7.189696,3.725199,3.122195,9.023632,"conf_19"
"79",30,16,1,10000,6.115329,4.86276,2.494848,2.901989,2.762609,2.826107,7.185869,3.724449,3.119937,9.01559,"conf_19"
"80",30,16,1,50000,6.110561,4.86275,2.494844,2.901988,2.762589,2.826105,7.185867,3.724444,3.119936,9.011739,"conf_19"
"81",5,17,1,500,0.214654,0.04491,0.037519,0.091315,3.87402,0.02582,3.765854,1.397731,0.828492,0.139076,"conf_19"
"82",5,17,1,2000,0.14488,0.014572,0.01722,0.028461,3.873996,0,3.685785,1.365946,0.715232,0.067628,"conf_19"
"83",5,17,1,5000,0.14488,0.014572,0.017218,0.028459,3.514891,0,3.685784,1.284758,0.715225,0.067621,"conf_19"
"84",5,17,1,10000,0.13218,0.014572,0.017218,0.028459,3.514891,0,3.685784,1.284758,0.715225,0.067621,"conf_19"
"85",5,17,1,50000,0.04523,0.014572,0.017218,0.028459,0.309894,0,3.685784,0.70534,0.289738,0.067621,"conf_19"
"86",30,17,1,500,4.539218,6.287389,6.89644,6.710022,7.768251,4.827682,5.735621,5.627293,4.127891,5.69945,"conf_19"
"87",30,17,1,2000,1.688653,4.419666,4.668985,4.569191,7.679773,0.937297,3.210397,2.597275,0.586801,2.235587,"conf_19"
"88",30,17,1,5000,1.577629,4.358093,4.506213,4.486576,4.571868,0.8844,3.175358,2.548856,0.468113,2.159455,"conf_19"
"89",30,17,1,10000,1.560115,4.349219,4.30578,4.480881,4.410218,0.884389,3.175356,2.526583,0.468081,2.15944,"conf_19"
"90",30,17,1,50000,1.55924,4.345263,4.275424,4.395387,4.379035,0.884389,3.175356,2.5104,0.468081,2.15776,"conf_19"
"91",5,18,1,500,0.221526,6.779343,0.198591,31.866766,1.714938,8.285087,25.194131,14.713825,8.084296,8.449446,"conf_19"
"92",5,18,1,2000,0.01899,6.671317,0.069942,5.446998,1.409181,0.742524,24.756923,14.707076,7.729193,8.281535,"conf_19"
"93",5,18,1,5000,0.01899,3.284245,0.069941,5.427869,1.409181,0.740032,24.756923,0.276841,7.729175,0.117857,"conf_19"
"94",5,18,1,10000,0.01899,1.21823,0.069941,5.427869,1.409181,0.740032,20.797595,0.276616,7.729175,0.051775,"conf_19"
"95",5,18,1,50000,0.01899,0.139767,0.069941,5.427869,1.409181,0.740032,6.473243,0.276614,7.729175,0.045895,"conf_19"
"96",30,18,1,500,22.162707,20.965396,29.475439,12.268992,20.658237,19.730988,20.00861,13.243726,24.724472,18.566431,"conf_19"
"97",30,18,1,2000,10.818384,8.566702,18.677164,2.031642,8.290593,8.61992,10.616461,3.469062,13.442023,5.858008,"conf_19"
"98",30,18,1,5000,10.405571,8.334657,17.693809,1.393377,8.131422,8.525082,10.422277,3.359913,13.311279,5.647902,"conf_19"
"99",30,18,1,10000,10.137402,8.334614,17.549105,1.392525,8.131413,8.525078,10.422271,3.359909,13.311274,5.647864,"conf_19"
"100",30,18,1,50000,10.042607,8.334614,17.54019,1.392525,8.130404,8.525078,10.422271,3.359909,13.311274,5.647864,"conf_19"
"101",30,19,1,500,6.343038,6.496171,6.418502,5.943473,7.052566,6.771429,7.22274,6.803476,4.629045,6.939656,"conf_19"
"102",30,19,1,2000,6.25907,6.496171,6.418502,5.943473,2.397159,6.17608,7.22274,6.803476,4.629045,3.965974,"conf_19"
"103",30,19,1,5000,6.25907,6.139788,6.34308,5.853379,1.473525,6.17608,2.446709,5.182161,4.629045,2.673591,"conf_19"
"104",30,19,1,10000,6.033778,6.139788,5.672082,5.853379,0.584251,6.17608,1.071436,5.182161,4.629045,1.241814,"conf_19"
"105",30,19,1,50000,4.828135,1.281288,5.564876,4.990013,0.374295,5.883513,0.336835,5.072066,4.629045,0.470117,"conf_19"
"106",5,19,1,500,2.355767,1.330396,0.409865,1.663371,1.20261,0.44171,0.134148,1.319825,0.110811,2.269375,"conf_19"
"107",5,19,1,2000,2.355767,1.330396,0.224997,1.663371,1.20261,0.44171,0.035122,1.078854,0.107801,0.113883,"conf_19"
"108",5,19,1,5000,0.542445,0.774095,0.134721,0.070686,0.389813,0.44171,0.024184,1.078854,0.106543,0.113882,"conf_19"
"109",5,19,1,10000,0.542445,0.774095,0.134721,0.070686,0.389813,0.312398,0.0236,0.312456,0.106089,0.113882,"conf_19"
"110",5,19,1,50000,0.542445,0.086393,0.134721,0.070686,0.389813,0.283214,0.02357,0.094247,0.106052,0.113882,"conf_19"
"111",5,2,1,500,99.307859,23.060613,161.241177,352.659324,814.733678,704.445746,44.681204,419.756986,35.394596,131.659715,"conf_19"
"112",5,2,1,2000,4e-06,1e-06,2.7e-05,0.001169,3.9e-05,0.000823,0.001159,2e-04,3.3e-05,4e-06,"conf_19"
"113",5,2,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"114",5,2,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"115",5,2,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_19"
"116",30,2,1,500,427421.181719,376346.612788,380445.748339,280579.344429,390410.780797,441394.363876,561144.144188,808363.273832,194182.162558,314769.223521,"conf_19"
"117",30,2,1,2000,56249.829654,36037.813631,46923.789469,39668.575525,30880.703415,49989.543644,50587.512048,41284.92466,18914.936015,28383.449418,"conf_19"
"118",30,2,1,5000,6022.768118,4481.100661,3851.152272,1311.874853,4347.057782,7236.063676,7033.097374,6899.315483,2218.45854,3662.6925,"conf_19"
"119",30,2,1,10000,1024.98208,1055.478673,460.061036,459.771693,659.713401,966.178342,1182.013837,723.872629,549.888601,340.30497,"conf_19"
"120",30,2,1,50000,0,3e-06,3e-06,1e-06,4.8e-05,0,0,2e-06,0,0,"conf_19"
"121",30,20,1,500,3.766244,3.952072,3.490178,3.582963,3.842616,3.490571,3.699148,3.955512,3.704155,3.502912,"conf_19"
"122",30,20,1,2000,2.248905,2.426844,2.680896,1.841968,2.125785,2.075051,2.233918,2.358216,2.339409,2.191668,"conf_19"
"123",30,20,1,5000,2.230769,2.382251,2.665417,1.829344,2.105909,2.059687,2.211344,2.336222,2.309699,2.171596,"conf_19"
"124",30,20,1,10000,2.230768,2.382245,2.665416,1.829343,2.105908,2.059687,2.211278,2.336221,2.309698,2.171595,"conf_19"
"125",30,20,1,50000,2.230768,2.382245,2.665416,1.829343,2.105908,2.059687,2.211278,2.336221,2.309698,2.171595,"conf_19"
"126",5,20,1,500,2.095039,2.132832,2.196207,1.74442,3.055722,2.871447,2.250953,1.545867,1.146235,1.425789,"conf_19"
"127",5,20,1,2000,2.092709,2.132112,2.196207,1.737189,1.776663,1.769114,2.179115,1.53972,1.144909,1.421326,"conf_19"
"128",5,20,1,5000,1.737372,2.059626,1.421304,1.737189,1.302843,1.769051,1.895057,1.53972,1.144909,1.421326,"conf_19"
"129",5,20,1,10000,1.539786,2.059626,1.421304,1.737189,1.302843,1.740087,1.895057,1.381286,1.144909,1.421326,"conf_19"
"130",5,20,1,50000,1.024861,1.184449,0.71063,1.381852,1.302843,1.144909,1.53972,1.184383,0.71063,1.370584,"conf_19"
"131",30,21,1,500,21.309489,18.075714,36.088803,17.412506,38.958758,21.108552,41.8302,31.0931,37.532742,21.262121,"conf_19"
"132",30,21,1,2000,3.699398,3.735859,19.358668,3.741836,19.4623,3.730778,19.362763,19.272914,17.363302,3.793326,"conf_19"
