"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"1",5,1,1,500,0.00095,0.00014,0.000438,0.000345,0.000131,0.000336,0.000553,0.000716,0.000347,0.000791,0.000106,3.7e-05,0.000375,0.000184,0.000314,4.7e-05,0.000212,0.000148,0.000113,0.000183,"conf_5"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"6",30,1,1,500,14.208297,14.762654,15.997876,17.962738,10.834522,20.599777,14.201121,10.568299,16.552304,14.68836,14.652114,11.465908,10.690587,7.934497,13.274224,13.552254,14.250523,10.465468,12.663571,12.381888,"conf_5"
"7",30,1,1,2000,0.065491,0.051936,0.038108,0.072151,0.045219,0.079855,0.046177,0.026483,0.094526,0.028203,0.021579,0.025378,0.02936,0.027152,0.013586,0.041019,0.033312,0.028076,0.034428,0.018639,"conf_5"
"8",30,1,1,5000,1e-06,1e-06,0,1e-06,1e-06,2e-06,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,"conf_5"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"11",5,10,1,500,255.906354,320.46143,392.217456,256.90843,434.408352,750.614621,107.667577,3264.929209,419.621782,1354.269894,20.087583,4650.814208,2367.902404,39.811321,18.649817,20.045982,37.784456,196.58716,2751.536521,3475.873318,"conf_5"
"12",5,10,1,2000,9.1e-05,0.160327,0.002906,5.4e-05,0.094496,0.042793,0.026422,0.311338,0.041851,0.000193,0.000155,1e-05,0.000857,1.1e-05,0.000361,3.2e-05,0.000181,0.011162,0.00339,0.01752,"conf_5"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"14",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"15",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_5"
"16",30,10,1,500,165796.270296,279257.636412,200333.53406,356264.991588,697891.419322,181797.500737,562627.345212,230772.152016,397899.828965,299723.680493,199917.496943,290821.618967,342661.05461,438239.096049,188260.751338,191846.701373,205149.208272,264466.281556,121788.263031,332112.279564,"conf_5"
"17",30,10,1,2000,13582.094139,34747.990314,19586.599145,25159.51953,37465.407715,26185.927246,38124.188019,17888.762542,29031.43548,26347.381581,17756.549781,32341.677127,19519.319977,19819.970921,25276.867108,17971.554481,24171.819388,8692.965915,18045.140138,28355.801364,"conf_5"
"18",30,10,1,5000,2180.006757,5580.457597,5787.351214,5391.699784,5699.333493,5094.315517,7794.867144,4554.55203,5164.009219,7284.94961,3506.959287,7115.617877,2525.838424,3325.277042,6409.56814,3187.260572,5217.553764,2878.632061,3234.412595,4666.383984,"conf_5"
"19",30,10,1,10000,381.30878,1127.38233,1186.830059,500.261187,1948.129133,879.763196,1039.507662,1035.828769,1036.412554,672.887706,649.718724,1798.796612,538.838258,515.931186,1129.961479,1358.64321,878.541686,904.646469,757.944401,612.930902,"conf_5"
"20",30,10,1,50000,0,5e-06,0.000373,0,4e-06,0.034466,4.9e-05,3e-06,0.000372,5e-06,0,0.000182,0,0.000279,1.6e-05,0,0,0,0,0,"conf_5"
